backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
mobilenet_v3_small,EplusT,pca,1,logreg,0.030613306737916693,0.006222864483016977,0.022313710813922645,0.0043530546490583655,4,0.0306 ± 0.0062,0.0223 ± 0.0044
resnet50,EplusT,pca,1,logreg,0.03153669648328254,0.007047606816095571,0.02088992804781855,0.006174612384551792,4,0.0315 ± 0.0070,0.0209 ± 0.0062
efficientnet_b0,EplusT,pca,1,logreg,0.03471718238603911,0.0033945093893156526,0.02031524224726038,0.003292634229901613,4,0.0347 ± 0.0034,0.0203 ± 0.0033
efficientnet_b0,EplusT,rp,1,logreg,0.0226630265790164,0.0018133372475001963,0.016438981349308573,0.0009099953830954042,4,0.0227 ± 0.0018,0.0164 ± 0.0009
mobilenet_v3_small,EplusT,rp,1,logreg,0.020738127644564286,0.004503042007807816,0.01586075127297392,0.0037386490968337803,4,0.0207 ± 0.0045,0.0159 ± 0.0037
resnet50,EplusT,rp,1,logreg,0.010966567181594505,0.0023993962680949822,0.007635944254889047,0.0011255792507693298,4,0.0110 ± 0.0024,0.0076 ± 0.0011
resnet50,EplusT,lda,1,linearsvc,0.022350238766691743,0.0022220970380190503,0.005981140385170223,0.0006441654977187374,4,0.0224 ± 0.0022,0.0060 ± 0.0006
efficientnet_b0,EplusT,pca,1,linearsvc,0.019511310198678272,0.0013938875463797176,0.005645263266053047,0.0007324812278157089,4,0.0195 ± 0.0014,0.0056 ± 0.0007
efficientnet_b0,EplusT,lda,1,linearsvc,0.023143253828947608,0.005503170660077316,0.005474721204440706,0.000661225200169022,4,0.0231 ± 0.0055,0.0055 ± 0.0007
mobilenet_v3_small,EplusT,rp,1,linearsvc,0.019601448640713594,0.0019776180101217056,0.005318071832160735,0.00031913042635390974,4,0.0196 ± 0.0020,0.0053 ± 0.0003
efficientnet_b0,EplusT,rp,1,linearsvc,0.015606286117018453,0.0025961478236744906,0.004607947054461788,0.0002647816482848717,4,0.0156 ± 0.0026,0.0046 ± 0.0003
mobilenet_v3_small,EplusT,pca,1,linearsvc,0.01715179705805784,0.0024983327234828112,0.004547568455134502,0.0007159354369642001,4,0.0172 ± 0.0025,0.0045 ± 0.0007
resnet50,EplusT,pca,1,linearsvc,0.01860454985630811,0.002452812567152802,0.0042714004234045986,0.000901305467523893,4,0.0186 ± 0.0025,0.0043 ± 0.0009
mobilenet_v3_small,EplusT,lda,1,linearsvc,0.02041956404430925,0.0041120452575682965,0.00399152935127694,0.001057274113431616,4,0.0204 ± 0.0041,0.0040 ± 0.0011
resnet50,EplusT,rp,1,linearsvc,0.014490586744210646,0.002822913718911556,0.002714801493209555,0.0007038264917409943,4,0.0145 ± 0.0028,0.0027 ± 0.0007
efficientnet_b0,EplusT,lda,1,knn,0.012161612452221752,0.0011814103354724592,0.0002364058093472647,5.0165364093010303e-05,4,0.0122 ± 0.0012,0.0002 ± 0.0001
mobilenet_v3_small,EplusT,lda,1,knn,0.008786564773954456,0.00258497426617572,0.00013903428677777154,4.1383811381225804e-05,4,0.0088 ± 0.0026,0.0001 ± 0.0000
resnet50,EplusT,lda,1,knn,0.008421553401714545,0.002933953013404689,0.00013683642075866078,4.9472992604781704e-05,4,0.0084 ± 0.0029,0.0001 ± 0.0000
mobilenet_v3_small,EplusT,pca,1,knn,0.008362696806800018,0.003302590712989231,0.00012937831375268508,5.578288636488676e-05,4,0.0084 ± 0.0033,0.0001 ± 0.0001
efficientnet_b0,EplusT,pca,1,knn,0.008608379097334029,0.005771958717673606,0.00012755824501574795,8.626703573067629e-05,4,0.0086 ± 0.0058,0.0001 ± 0.0001
resnet50,EplusT,pca,1,knn,0.008236244361956876,0.003188786534722217,0.00012331137558401454,4.906482910712008e-05,4,0.0082 ± 0.0032,0.0001 ± 0.0000
mobilenet_v3_small,EplusT,rp,1,knn,0.007864599954717694,0.0015997948099739732,0.00010067630246508437,3.3954205675155706e-05,4,0.0079 ± 0.0016,0.0001 ± 0.0000
efficientnet_b0,EplusT,rp,1,knn,0.0061370584497132605,0.002330635179097539,7.505187901791313e-05,2.5182236908251037e-05,4,0.0061 ± 0.0023,0.0001 ± 0.0000
resnet50,EplusT,rp,1,knn,0.005068128730127441,0.002267813217701005,7.437616995794704e-05,3.3680864014385865e-05,4,0.0051 ± 0.0023,0.0001 ± 0.0000
