backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
mobilenet_v3_small,EplusT,pca,32,logreg,0.9874955126629575,0.002619565291706662,0.981527646202049,0.00486809038258281,4,0.9875 ± 0.0026,0.9815 ± 0.0049
resnet50,EplusT,lda,267,linearsvc,0.988974599376092,0.003024874647869102,0.9815070983952754,0.00338939662441745,4,0.9890 ± 0.0030,0.9815 ± 0.0034
mobilenet_v3_small,EplusT,lda,32,knn,0.9884117402462664,0.0008243437310690473,0.9812033121601262,0.0029998265756777647,4,0.9884 ± 0.0008,0.9812 ± 0.0030
efficientnet_b0,EplusT,rp,128,logreg,0.9884940733975247,0.0034393230168442367,0.9807666040419378,0.0047638298293064905,4,0.9885 ± 0.0034,0.9808 ± 0.0048
resnet50,EplusT,pca,256,logreg,0.9878950687117921,0.002255594037776485,0.9803085371690619,0.0027119244440169713,4,0.9879 ± 0.0023,0.9803 ± 0.0027
resnet50,EplusT,lda,64,knn,0.986717081467695,0.003318629253653921,0.979754424536713,0.005572315757816614,4,0.9867 ± 0.0033,0.9798 ± 0.0056
resnet50,EplusT,pca,128,logreg,0.9865021756835792,0.003931457033399672,0.9793447346341969,0.0046964378491631065,4,0.9865 ± 0.0039,0.9793 ± 0.0047
efficientnet_b0,EplusT,lda,32,knn,0.9883570200079674,0.0038480506003136343,0.9793277106435894,0.009385781818890066,4,0.9884 ± 0.0038,0.9793 ± 0.0094
efficientnet_b0,EplusT,pca,64,linearsvc,0.9863939528872899,0.0029891535163883228,0.9792706210935787,0.0046481520234051684,4,0.9864 ± 0.0030,0.9793 ± 0.0046
efficientnet_b0,EplusT,lda,32,logreg,0.9866966532356395,0.003403706417171186,0.9785371854601733,0.00721640539262692,4,0.9867 ± 0.0034,0.9785 ± 0.0072
resnet50,EplusT,pca,256,linearsvc,0.986469974884786,0.005511752679084313,0.9779106702005165,0.008660723806289834,4,0.9865 ± 0.0055,0.9779 ± 0.0087
efficientnet_b0,EplusT,pca,32,logreg,0.9837172168490931,0.0048463946732394195,0.977508720939795,0.006866678295137336,4,0.9837 ± 0.0048,0.9775 ± 0.0069
efficientnet_b0,EplusT,lda,128,linearsvc,0.9850951430582261,0.00314743233407683,0.9769561500535981,0.005470115801595943,4,0.9851 ± 0.0031,0.9770 ± 0.0055
mobilenet_v3_small,EplusT,lda,16,logreg,0.9840309853176937,0.00220941548452254,0.9766829758457415,0.00539405910287182,4,0.9840 ± 0.0022,0.9767 ± 0.0054
efficientnet_b0,EplusT,pca,256,knn,0.9852214270561683,0.002469410392482806,0.9764285916903488,0.006512108590500317,4,0.9852 ± 0.0025,0.9764 ± 0.0065
resnet50,EplusT,pca,64,logreg,0.9843477410397331,0.004059241562526804,0.9760205177372188,0.007210994297901028,4,0.9843 ± 0.0041,0.9760 ± 0.0072
efficientnet_b0,EplusT,rp,128,linearsvc,0.9840066123285245,0.0019476183472733185,0.9757259562835884,0.0027213244409358675,4,0.9840 ± 0.0019,0.9757 ± 0.0027
resnet50,EplusT,lda,64,logreg,0.9848515519751423,0.002140422887253498,0.9754730682714333,0.002987061361162333,4,0.9849 ± 0.0021,0.9755 ± 0.0030
mobilenet_v3_small,EplusT,pca,256,knn,0.9856482359715596,0.003411346920174063,0.9749940328538181,0.0073304775582246256,4,0.9856 ± 0.0034,0.9750 ± 0.0073
efficientnet_b0,EplusT,pca,32,linearsvc,0.9816415535514781,0.004160297077298691,0.9743961939814595,0.007904986183271586,4,0.9816 ± 0.0042,0.9744 ± 0.0079
mobilenet_v3_small,EplusT,pca,32,linearsvc,0.9832444119378524,0.00265865082827921,0.9738713371229862,0.004775151524975964,4,0.9832 ± 0.0027,0.9739 ± 0.0048
efficientnet_b0,EplusT,pca,128,knn,0.9829399422632897,0.0035422557240733983,0.9737005779983889,0.00607448649232104,4,0.9829 ± 0.0035,0.9737 ± 0.0061
mobilenet_v3_small,EplusT,lda,32,linearsvc,0.9827826290885779,0.0016034081512991919,0.9731596946316723,0.004391704758337296,4,0.9828 ± 0.0016,0.9732 ± 0.0044
mobilenet_v3_small,EplusT,pca,128,knn,0.9853003057784508,0.0034081129570713254,0.9729043531329927,0.007800689258581986,4,0.9853 ± 0.0034,0.9729 ± 0.0078
mobilenet_v3_small,EplusT,rp,128,knn,0.9845709649616108,0.0011657378013973836,0.972297476877614,0.0027874499242018422,4,0.9846 ± 0.0012,0.9723 ± 0.0028
mobilenet_v3_small,EplusT,rp,64,linearsvc,0.9833854943079738,0.001272403311488485,0.9715443975539867,0.005996654364168484,4,0.9834 ± 0.0013,0.9715 ± 0.0060
efficientnet_b0,EplusT,rp,64,logreg,0.981272536351275,0.004903334759089476,0.971201706293368,0.006067171501288704,4,0.9813 ± 0.0049,0.9712 ± 0.0061
mobilenet_v3_small,EplusT,pca,64,knn,0.9832076686777561,0.002681371453498675,0.9705970038053789,0.0063078103958004485,4,0.9832 ± 0.0027,0.9706 ± 0.0063
resnet50,EplusT,pca,64,linearsvc,0.9818448627220393,0.0026462706721736883,0.9705745399425953,0.004624648522569009,4,0.9818 ± 0.0026,0.9706 ± 0.0046
resnet50,EplusT,pca,128,linearsvc,0.9816482097390784,0.004069519335195264,0.9691226651617324,0.005807492493035432,4,0.9816 ± 0.0041,0.9691 ± 0.0058
efficientnet_b0,EplusT,rp,128,knn,0.9818442039470004,0.004200968358067996,0.9686340520197017,0.0072990075224625235,4,0.9818 ± 0.0042,0.9686 ± 0.0073
efficientnet_b0,EplusT,lda,64,linearsvc,0.9811553134895838,0.004205556165368745,0.9686340074907493,0.005275516885865115,4,0.9812 ± 0.0042,0.9686 ± 0.0053
mobilenet_v3_small,EplusT,lda,16,knn,0.9813200258503851,0.0026606174606704017,0.9681031908910346,0.004783504439433976,4,0.9813 ± 0.0027,0.9681 ± 0.0048
resnet50,EplusT,lda,128,linearsvc,0.978224646233977,0.007360247985764692,0.967711068149921,0.009202386743643357,4,0.9782 ± 0.0074,0.9677 ± 0.0092
efficientnet_b0,EplusT,pca,64,knn,0.9785053018246401,0.004393120853682621,0.9669120027266023,0.006138635072993053,4,0.9785 ± 0.0044,0.9669 ± 0.0061
mobilenet_v3_small,EplusT,rp,64,knn,0.9795997150845694,0.0030462500737260772,0.9664547374949479,0.006701930932079073,4,0.9796 ± 0.0030,0.9665 ± 0.0067
resnet50,EplusT,lda,32,knn,0.9769154724842317,0.0020065378223568455,0.965485441224383,0.0008129100185535997,4,0.9769 ± 0.0020,0.9655 ± 0.0008
resnet50,EplusT,pca,256,knn,0.977648183506597,0.00494088982591986,0.9645822870930018,0.005712860079738426,4,0.9776 ± 0.0049,0.9646 ± 0.0057
resnet50,EplusT,pca,32,logreg,0.9748958547281927,0.007260644138918976,0.9636564489729433,0.01058167834386824,4,0.9749 ± 0.0073,0.9637 ± 0.0106
mobilenet_v3_small,EplusT,pca,32,knn,0.9777705227474256,0.005288176466117848,0.9633749994951032,0.010296461557382267,4,0.9778 ± 0.0053,0.9634 ± 0.0103
