epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr
1,5.380142442385355,0.04886423666138404,0.024272714898764997,5.243695524003771,0.03605980650835532,0.015828504139003465,9.990133642141359e-05
2,4.68121186097463,0.25066032752245115,0.12316129415999269,4.658335725466411,0.30606860158311344,0.15078054190689885,9.96057350657239e-05
3,3.8966681321461993,0.43423137876386686,0.25673418073782633,4.003619432449341,0.5356200527704486,0.3268287273780784,9.911436253643444e-05
4,3.184544054667155,0.5734284204965663,0.38021433097808444,3.1186905834409924,0.6288478452066842,0.41606176334372447,9.842915805643155e-05
5,2.561442760626475,0.6627047015319598,0.47419394383091346,2.3864119052886963,0.7255936675461742,0.5357774166782238,9.755282581475769e-05
6,2.0621664901574452,0.7427363972530375,0.5703243965958869,1.754996743467119,0.783641160949868,0.6067791503401948,9.648882429441257e-05
7,1.6516373097896575,0.7886951928156366,0.6301701877232773,1.3906466397974226,0.8311345646437994,0.6729177572892867,9.524135262330098e-05
8,1.3267390092213949,0.8404648705758055,0.7028642268963696,1.0886411252948973,0.8689533861037819,0.7290960697954401,9.381533400219317e-05
9,1.0867655942837398,0.8729529846804015,0.7483244104290351,0.8710718303918839,0.911169744942832,0.791495334031781,9.221639627510075e-05
10,0.8758943607409795,0.9088748019017433,0.8049416341987649,0.6818037761582268,0.9313984168865436,0.8314662749531171,9.045084971874735e-05
11,0.6924521545569102,0.9257791864764924,0.8340587959845696,0.5414793673488829,0.940193491644679,0.846418551120217,8.852566213878945e-05
12,0.5507842436432838,0.9437400950871633,0.8657731328807795,0.42208726786904865,0.9463500439753738,0.8684091993865111,8.644843137107056e-05
13,0.4587361142039299,0.9519281563655573,0.8862960126567447,0.34648102190759444,0.9577836411609498,0.8901966780769747,8.422735529643442e-05
14,0.3702130988240242,0.9638140517696777,0.9105691893823924,0.2876301838292016,0.9639401934916447,0.908947786879144,8.187119948743447e-05
15,0.3010372705757618,0.968568409931326,0.9173639135963719,0.23688577322496307,0.9700967458223395,0.9306524966019474,7.938926261462366e-05
16,0.25845918282866476,0.9756999471737982,0.9366225196431635,0.20221346327000195,0.9753737906772207,0.9346904869497403,7.679133974894982e-05
17,0.22385940017799535,0.9801901743264659,0.9523620892948189,0.17007122312982878,0.980650835532102,0.9531658638841765,7.408768370508575e-05
18,0.20472056716680526,0.9828314844162704,0.957690829303503,0.14942199654049343,0.9797713280562885,0.9570316966598079,7.128896457825361e-05
19,0.16725245987375578,0.9862651875330164,0.9699024387598326,0.13334713089797232,0.9868073878627969,0.9714940945258398,6.840622763423389e-05
20,0.15483698671062787,0.9920760697305864,0.9849798361578553,0.12140428005821174,0.9815303430079155,0.9687414330813435,6.545084971874736e-05
21,0.1412836632380883,0.9918119387216059,0.9831493692255011,0.10517961863014433,0.9876868953386104,0.9729439055673982,6.243449435824272e-05
22,0.1280186738818884,0.9926043317485472,0.9805957981554122,0.09957629131774108,0.9850483729111698,0.9760868191751501,5.9369065729286224e-05
23,0.11045431134601434,0.9944532488114105,0.9906290567952313,0.09271188866760996,0.9868073878627969,0.9736247959870944,5.626666167821521e-05
24,0.09724695825328429,0.9933967247754887,0.98755487295629,0.08712568278941843,0.9868073878627969,0.9764866554769979,5.3139525976465657e-05
25,0.09443538549045721,0.9960380348652932,0.9927318982322518,0.08155142215804921,0.9859278803869833,0.9737164157664596,4.999999999999998e-05
26,0.08970031893501679,0.9933967247754887,0.9895442865917728,0.07902580654869477,0.9868073878627969,0.982147425235756,4.6860474023534314e-05
27,0.0871236553415656,0.99418911780243,0.9897541943261116,0.07139394980751806,0.990325417766051,0.9853544253522305,4.3733338321784775e-05
28,0.08178624634941419,0.9957739038563127,0.9919585234953143,0.06859709705329603,0.9912049252418645,0.9842163647339008,4.063093427071375e-05
29,0.06895482602218787,0.9947173798203909,0.9912572059354338,0.06785021494660112,0.9885664028144239,0.9825572225550275,3.756550564175724e-05
30,0.07193733863532543,0.9957739038563127,0.9944092567578452,0.06395568822820981,0.990325417766051,0.9842029038995446,3.454915028125263e-05
31,0.06653516283258795,0.9955097728473323,0.994159122496024,0.062188027426600456,0.990325417766051,0.9842029038995446,3.1593772365766105e-05
