fold,final_val_acc,final_val_macro_f1,best_val_acc,best_val_macro_f1,best_epoch
1,0.9879245283018868,0.9825869651709492,0.9894339622641509,0.9847523541668914,27
2,0.9890196078431372,0.9779422902672752,0.9890196078431372,0.9779422902672752,43
3,0.9907251264755481,0.9841118288111265,0.9907251264755481,0.9841118288111265,35
4,0.9920844327176781,0.986204342433491,0.9920844327176781,0.9867039269229556,34
